word,count
the,49546
i,46973
you,42494
and,29429
to,26780
a,26118
me,21103
my,19522
it,17884
in,17048
that,13378
on,12705
of,11525
your,11378
i'm,10492
like,9767
all,9367
is,9259
we,8680
be,8666
for,8632
up,8163
so,8016
with,7946
know,7584
love,7522
but,7488
just,7474
don't,7098
no,7049
got,6855
this,6784
get,6513
what,6506
oh,6437
when,6172
do,6000
they,5851
yeah,5749
now,5368
baby,5326
if,5272
go,5039
can,5028
she,4916
was,4796
out,4780
it's,4664
one,4562
down,4494
he,4042
want,3996
see,3835
cause,3827
come,3815
her,3641
say,3635
not,3620
at,3530
make,3449
from,3378
time,3371
back,3359
have,3273
are,3209
you're,3104
how,3098
let,3072
never,3052
girl,3013
as,2965
take,2893
man,2821
right,2788
wanna,2770
will,2767
way,2765
im,2751
can't,2634
there,2624
ain't,2568
need,2526
tell,2494
then,2410
gonna,2355
here,2347
more,2309
some,2298
i'll,2240
feel,2201
where,2150
too,2142
his,2124
could,2123
been,2112
u,2104
said,2088
life,2066
who,2031
or,2018
them,2015
good,2010
about,1988
shit,1978
give,1973
why,1942
night,1885
had,1881
little,1877
off,1847
still,1828
day,1820
by,1816
that's,1805
ya,1778
only,1772
em,1761
think,1727
keep,1709
fuck,1705
bitch,1688
us,1686
through,1670
every,1655
look,1651
hey,1632
well,1623
away,1609
around,1571
these,1567
would,1561
him,1555
heart,1553
world,1522
money,1509
gotta,1503
over,1484
dont,1453
its,1451
put,1444
i've,1438
new,1420
better,1408
am,1403
an,1391
la,1391
call,1388
our,1366
ever,1338
bad,1329
boy,1313
home,1289
stop,1264
2,1263
even,1252
long,1249
really,1240
than,1216
did,1207
we're,1204
big,1201
won't,1196
again,1195
mind,1192
nigga,1186
always,1178
there's,1177
aint,1168
were,1135
hold,1127
much,1116
things,1115
da,1105
head,1103
people,1103
thing,1101
nothing,1098
before,1091
niggas,1086
ooh,1076
yo,1055
hear,1054
show,1050
name,1039
everything,1030
going,1014
hard,992
hit,985
god,983
leave,981
eyes,980
try,980
gone,979
ass,978
find,975
live,960
another,960
turn,959
should,953
something,945
talk,939
real,936
uh,934
play,925
she's,924
face,916
let's,915
everybody,913
please,912
old,897
light,886
mine,881
na,878
believe,876
two,859
tonight,858
high,855
s,849
made,844
stay,842
dance,838
alone,836
last,835
into,831
told,827
best,818
work,794
hand,791
nixga,777
bout,773
while,772
body,771
yes,766
die,759
chorus,751
first,748
their,742
hot,737
mean,736
i'd,736
nobody,733
came,732
thats,731
left,731
run,728
t,727
place,723
other,722
wait,716
stand,711
gon,709
cry,709
round,694
same,692
done,691
without,685
bitches,684
wish,681
girls,677
fly,676
black,675
friends,673
whole,672
ah,669
enough,668
damn,663
wrong,660
you'll,656
thought,651
hands,651
free,644
alright,644
crazy,638
game,635
sky,634
has,633
fire,631
he's,626
young,624
whoa,621
cant,619
somebody,619
til,616
together,606
maybe,596
must,595
care,594
used,591
move,591
coming,591
goin,590
own,589
end,589
went,587
fall,583
inside,582
heard,573
rock,573
ready,569
party,566
myself,563
you've,558
help,558
side,558
we'll,556
many,555
bring,554
watch,552
music,552
because,551
looking,550
friend,547
sun,547
guess,545
remember,544
till,544
seen,542
touch,542
ask,542
ride,540
trying,534
break,534
fuckin,532
forever,528
might,527
walk,526
knows,521
door,520
sing,519
next,519
soul,513
lord,512
though,512
lost,509
feeling,508
house,505
lie,499
someone,499
wit,496
song,496
start,496
dream,495
hope,493
after,493
took,491
change,487
4,482
mama,481
kiss,480
true,479
far,475
cold,475
goes,475
top,472
white,472
waiting,472
pussy,469
woman,467
beat,467
matter,466
sweet,465
didn't,464
morning,463
knew,461
until,461
m,458
rain,458
getting,458
floor,458
happy,457
biggie,456
may,454
sometimes,454
miss,452
room,451
once,451
hate,450
y'all,449
days,443
since,442
babe,441
shot,441
honey,437
lose,437
comes,436
huh,433
bed,433
lay,431
smile,429
nixgas,428
lights,427
what's,427
road,426
town,423
blue,416
dead,416
blow,415
lot,415
hair,414
any,414
hoes,413
dreams,412
each,412
deep,412
roll,409
times,409
cut,409
throw,408
boys,408
gettin,407
pretty,405
easy,404
under,402
pain,402
full,402
yall,402
three,401
gimme,401
late,400
shake,400
close,399
those,397
city,397
dick,397
beautiful,395
hell,393
words,393
drop,393
sex,392
yourself,389
fight,387
low,383
years,382
line,382
talking,381
alive,381
club,378
behind,377
dark,375
living,375
feet,374
pull,374
hurt,373
fucking,373
sure,372
understand,370
car,370
slow,369
straight,369
forget,367
daddy,365
lonely,364
buy,362
ill,362
streets,361
check,359
feels,357
sleep,357
gave,354
makes,352
red,352
very,351
nah,350
lover,349
pay,349
phone,348
arms,348
open,347
gold,346
lookin,345
listen,345
drink,345
today,344
saying,343
meet,343
found,342
saw,341
talkin,340
heaven,340
anything,337
word,337
set,335
nasty,335
nothin,335
tryin,334
eat,333
else,331
doing,331
both,330
wonder,330
ha,329
sorry,327
wild,325
air,324
million,322
loving,319
tryna,319
yet,317
fast,316
kill,316
act,312
water,311
they're,311
says,311
swear,311
such,310
tried,309
star,309
ho,308
verse,307
boom,306
street,303
don,302
use,302
wake,302
lil,301
met,301
hood,301
feelin,300
eh,300
lets,300
wanted,300
broke,298
comin,298
lady,298
broken,295
cool,294
fun,293
i'mma,293
smoke,293
sit,292
kind,292
drive,292
thinking,291
gun,290
pop,289
doin,289
pass,289
mad,289
king,288
save,288
chance,288
blood,286
soon,285
pray,285
being,285
mother,284
past,284
tears,284
rap,283
kids,282
started,282
moon,279
tight,279
making,279
fine,277
sick,276
between,276
felt,275
youre,274
mouth,273
shine,273
upon,272
hello,271
truth,271
half,271
reason,270
i'ma,270
sea,269
fool,268
win,267
dog,266
eye,266
who's,266
wind,266
control,265
strong,264
flow,264
chick,264
school,263
motherfucker,262
standing,262
women,262
pick,262
number,262
front,260
loved,259
sound,259
shall,259
mr,258
nixgaz,258
seems,258
moment,257
york,257
wall,256
ground,255
along,254
motherfuckers,254
clothes,253
child,253
brother,252
taking,251
death,251
darling,251
step,251
rest,250
whatever,249
burn,247
power,246
bag,246
green,245
okay,245
tired,245
catch,244
son,244
somethin,243
tomorrow,242
part,242
couldn't,241
bright,240
perfect,239
men,238
does,238
year,238
send,238
thank,237
born,235
read,234
bought,234
push,234
d,233
land,233
children,233
different,232
window,232
caught,232
rich,231
jesus,231
stars,230
ladies,230
trust,229
